n_threads;time(s);mPow_size
8;0.002643;10
4;0.005441;10
8;0.002738;10
8;0.003647;10
8;0.002655;10
8;0.004956;10
16;0.002943;10
8;0.002143;10
4;0.005077;10
16;0.003156;10
8;0.004345;10
4;0.005535;10
16;0.003672;10
16;0.002366;10
8;0.002562;10
16;0.003282;10
16;0.006145;10
8;0.005578;10
16;0.003202;10
16;0.002103;10
16;0.00415;10
8;0.004714;10
16;0.003949;10
16;0.005513;10
32;0.004484;10
16;0.002331;10
8;0.0038;10
16;0.002164;10
32;0.004713;10
16;0.002286;10
8;0.005237;10
32;0.002322;10
32;0.005296;10
32;0.003415;10
16;0.005941;10
8;0.00438;10
32;0.004942;10
32;0.004441;10
16;0.004986;10
32;0.004962;10
32;0.002722;10
32;0.003185;10
16;0.005106;10
32;0.005116;10
32;0.00491;10
64;0.002374;10
16;0.006227;10
32;0.006162;10
64;0.003987;10
64;0.001912;10
64;0.004055;10
64;0.004506;10
32;0.004888;10
16;0.005049;10
32;0.004032;10
64;0.004895;10
64;0.004452;10
16;0.004463;10
64;0.004259;10
64;0.007065;10
64;0.003292;10
32;0.003264;10
32;0.003271;10
64;0.005194;10
96;0.004606;10
64;0.005629;10
32;0.002193;10
64;0.003155;10
64;0.003577;10
96;0.008749;10
96;0.001612;10
32;0.004917;10
96;0.004782;10
